timestamps,open,high,low,close,volume
2025-10-04 00:30:00,232.376,232.735,231.466,231.727,6119
2025-10-04 00:45:00,231.707,232.157,231.546,231.926,5598
2025-10-04 01:00:00,231.937,232.077,230.9538,231.087,9678
2025-10-04 01:15:00,231.157,231.227,230.556,230.607,11240
2025-10-04 01:30:00,230.607,230.897,230.4,230.547,5628
2025-10-04 01:45:00,230.496,230.527,229.544,230.277,12078
2025-10-04 02:00:00,230.287,231.01,228.7,229.295,19170
2025-10-04 02:15:00,229.336,229.396,228.275,229.336,22048
2025-10-04 02:30:00,229.336,229.756,229.145,229.555,9179
2025-10-04 02:45:00,229.566,230.317,229.485,229.775,11322
2025-10-04 03:00:00,229.706,229.966,227.92,228.296,18880
2025-10-04 03:15:00,228.225,228.876,227.805,228.826,11937
2025-10-04 03:30:00,228.826,229.006,228.535,228.946,6347
2025-10-04 03:45:00,228.936,229.3,228.665,229.126,8767
2025-10-04 04:00:00,229.096,229.55,229.004,229.415,6255
2025-10-04 04:15:00,229.415,229.456,228.956,228.995,9083
2025-10-04 04:30:00,228.936,229.836,228.895,229.6,8706
2025-10-04 04:45:00,229.646,229.746,229.375,229.486,4454
2025-10-04 05:00:00,229.475,230.107,229.365,230.066,8724
2025-10-04 05:15:00,230.046,230.227,229.765,229.785,7460
2025-10-04 05:30:00,229.785,229.846,229.265,229.325,8597
2025-10-04 05:45:00,229.325,229.926,229.086,229.896,8897
2025-10-04 06:00:00,229.89,230.107,229.665,229.886,5973
2025-10-04 06:15:00,229.826,230.477,229.826,229.964,13170
2025-10-04 06:30:00,229.946,230.197,229.715,229.776,6990
2025-10-04 06:45:00,229.815,229.896,229.545,229.776,6491
2025-10-04 07:00:00,229.806,229.836,229.485,229.545,5613
2025-10-04 07:15:00,229.536,229.656,229.182,229.396,10452
2025-10-04 07:30:00,229.36,229.536,229.213,229.285,4866
2025-10-04 07:45:00,229.295,229.306,228.685,229.056,17167
2025-10-04 08:00:00,229.045,229.399,229.045,229.155,9901
2025-10-04 08:15:00,229.135,229.236,228.555,228.776,11151
2025-10-04 08:30:00,228.766,228.916,228.135,228.396,14615
2025-10-04 08:45:00,228.265,229.029,228.145,228.806,11060
2025-10-04 09:00:00,228.826,229.366,228.505,229.306,9698
2025-10-04 09:15:00,229.3147,229.409,228.845,228.986,5880
2025-10-04 09:30:00,228.996,229.226,228.835,229.115,4699
2025-10-04 09:45:00,229.126,229.146,228.225,228.395,11493
2025-10-04 10:00:00,228.396,229.486,228.245,229.396,10479
2025-10-04 10:15:00,229.396,229.846,229.205,229.813,12839
2025-10-04 10:30:00,229.816,229.856,228.535,228.846,14132
2025-10-04 10:45:00,228.9,229.216,228.575,229.086,7393
2025-10-04 11:00:00,229.086,229.416,228.875,228.965,7114
2025-10-04 11:15:00,228.955,229.386,228.644,229.386,7149
2025-10-04 11:30:00,229.375,229.5212,228.6,229.145,7023
2025-10-04 11:45:00,229.1,229.375,228.966,229.125,4485
2025-10-04 12:00:00,229.125,229.396,228.736,228.995,4844
2025-10-04 12:15:00,229.015,229.015,228.621,228.634,7770
2025-10-04 12:30:00,228.6,229.026,228.544,228.656,6004
2025-10-04 12:45:00,228.645,228.656,227.855,228.065,22611
2025-10-04 13:00:00,228.036,229.766,227.83,229.025,31503
2025-10-04 13:15:00,229.015,229.436,228.765,228.765,14281
2025-10-04 13:30:00,228.765,229.516,228.705,229.256,11864
2025-10-04 13:45:00,229.245,229.516,228.655,228.726,8400
2025-10-04 14:00:00,228.695,229.345,228.344,229.326,13366
2025-10-04 14:15:00,229.35,229.406,228.675,228.817,5875
2025-10-04 14:30:00,228.8279,228.866,228.415,228.426,6682
2025-10-04 14:45:00,228.415,228.466,226.5,226.786,52739
2025-10-04 15:00:00,226.766,227.4,226.516,226.615,30842
2025-10-04 15:15:00,226.655,226.697,224.2672,224.893,67984
2025-10-04 15:30:00,224.925,225.487,224.634,225.245,31717
2025-10-04 15:45:00,225.245,225.946,224.464,224.8,29173
2025-10-04 16:00:00,224.8207,225.366,224.6,224.6957,16587
2025-10-04 16:15:00,224.741,225.077,224.104,224.644,24223
2025-10-04 16:30:00,224.645,225.546,224.644,225.166,18936
2025-10-04 16:45:00,225.225,225.646,224.683,225.615,12076
2025-10-04 17:00:00,225.576,226.476,225.395,226.115,24829
2025-10-04 17:15:00,226.115,226.888,225.935,226.855,19359
2025-10-04 17:30:00,226.815,226.936,225.8,226.215,20427
2025-10-04 17:45:00,226.215,226.516,225.994,226.516,11704
2025-10-04 18:00:00,226.525,226.926,226.455,226.776,10882
2025-10-04 18:15:00,226.755,226.895,226.503,226.686,9190
2025-10-04 18:30:00,226.605,226.606,225.974,226.245,12731
2025-10-04 18:45:00,226.246,226.346,225.765,226.006,9328
2025-10-04 19:00:00,226.006,226.407,225.925,226.356,7895
2025-10-04 19:15:00,226.345,226.616,226.045,226.516,5457
2025-10-04 19:30:00,226.516,226.74,226.285,226.326,6155
2025-10-04 19:45:00,226.315,226.857,226.285,226.8458,3526
